"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18224","Create course","LMS system","2026-03-02","passed","2026-03-02","Courses","Courses","",""
"","17274","User login with wrong email or password","LMS system","2026-03-02","passed","2026-03-02","Authorization","Authentication","",""
"","18226","Check displaying of empty courses list","LMS system","2026-03-02","passed","2026-03-02","Courses","Courses","",""
"","20924","User login with correct email and password","LMS system","2026-03-02","passed","2026-03-02","Authorization","Authentication","",""
"","17342","Check displaying of dashboard page","LMS system","2026-03-02","passed","2026-03-02","Dashboard","Dashboard","",""
"","18850","Navigation from login page to registration page","LMS system","2026-03-02","passed","2026-03-02","Authorization","Authentication","",""
"","17175","User login with wrong email or password","LMS system","2026-03-02","passed","2026-03-02","Authorization","Authentication","",""
"","18377","Registration with correct email, username and password","LMS system","2026-03-02","passed","2026-03-02","Registration","Authentication","",""
"","21048","test_edit_course","LMS system","2026-03-02","passed","2026-03-02","Courses","Courses","",""
"","17226","User login with wrong email or password","LMS system","2026-03-02","passed","2026-03-02","Authorization","Authentication","",""
