"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2884","Check displaying of dashboard page","LMS system","2026-03-17","passed","2026-03-17","Dashboard","Dashboard","",""
"","2175","Check displaying of empty courses list","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","4612","test_edit_course[firefox]","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","5369","User login with correct email and password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","2492","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","5041","User login with correct email and password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","2500","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","3709","test_edit_course[chromium]","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","3462","Registration with correct email, username and password","LMS system","2026-03-17","passed","2026-03-17","Registration","Authentication","",""
"","2282","Navigation from login page to registration page","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","2532","Navigation from login page to registration page","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","3772","User login with correct email and password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","4933","test_edit_course[webkit]","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","2526","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","2542","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","3114","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","2860","Navigation from login page to registration page","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","3322","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","3545","Create course","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","2864","Check displaying of empty courses list","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","3181","Registration with correct email, username and password","LMS system","2026-03-17","passed","2026-03-17","Registration","Authentication","",""
"","3132","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","1989","Check displaying of empty courses list","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","3230","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","3355","Check displaying of dashboard page","LMS system","2026-03-17","passed","2026-03-17","Dashboard","Dashboard","",""
"","2770","Registration with correct email, username and password","LMS system","2026-03-17","passed","2026-03-17","Registration","Authentication","",""
"","3620","Create course","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","2501","Check displaying of dashboard page","LMS system","2026-03-17","passed","2026-03-17","Dashboard","Dashboard","",""
"","2743","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","4281","Create course","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
