"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2741","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","2644","Check displaying of dashboard page","LMS system","2026-03-17","passed","2026-03-17","Dashboard","Dashboard","",""
"","2270","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","2452","Check displaying of dashboard page","LMS system","2026-03-17","passed","2026-03-17","Dashboard","Dashboard","",""
"","3467","Create course","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","2748","Registration with correct email, username and password","LMS system","2026-03-17","passed","2026-03-17","Registration","Authentication","",""
"","4519","User login with correct email and password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","2497","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","3973","test_edit_course[chromium]","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","2235","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","2283","Check displaying of empty courses list","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","3908","Create course","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","2359","Navigation from login page to registration page","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","2226","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","3037","Registration with correct email, username and password","LMS system","2026-03-17","passed","2026-03-17","Registration","Authentication","",""
"","5061","test_edit_course[webkit]","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","2145","Navigation from login page to registration page","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","5206","User login with correct email and password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","2271","Check displaying of empty courses list","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","2213","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
