"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1655","User login with wrong email or password","LMS system","2026-04-15","passed","2026-04-15","Authorization","Authentication","",""
"","1803","Registration with correct email, username and password","LMS system","2026-04-15","passed","2026-04-15","Registration","Authentication","",""
"","2531","Create course","LMS system","2026-04-15","passed","2026-04-15","Courses","Courses","",""
"","1874","User login with wrong email or password","LMS system","2026-04-15","passed","2026-04-15","Authorization","Authentication","",""
"","1368","User login with wrong email or password","LMS system","2026-04-15","passed","2026-04-15","Authorization","Authentication","",""
"","1446","Navigation from login page to registration page","LMS system","2026-04-15","passed","2026-04-15","Authorization","Authentication","",""
"","1852","Check displaying of dashboard page","LMS system","2026-04-15","passed","2026-04-15","Dashboard","Dashboard","",""
"","7172","User login with correct email and password","LMS system","2026-04-15","passed","2026-04-15","Authorization","Authentication","",""
"","4190","test_edit_course[webkit]","LMS system","2026-04-15","passed","2026-04-15","Courses","Courses","",""
"","2946","test_edit_course[firefox]","LMS system","2026-04-15","passed","2026-04-15","Courses","Courses","",""
"","1355","User login with wrong email or password","LMS system","2026-04-15","passed","2026-04-15","Authorization","Authentication","",""
"","2126","Create course","LMS system","2026-04-15","passed","2026-04-15","Courses","Courses","",""
"","1330","User login with wrong email or password","LMS system","2026-04-15","passed","2026-04-15","Authorization","Authentication","",""
"","1223","Navigation from login page to registration page","LMS system","2026-04-15","passed","2026-04-15","Authorization","Authentication","",""
"","1381","User login with wrong email or password","LMS system","2026-04-15","passed","2026-04-15","Authorization","Authentication","",""
"","1465","Check displaying of empty courses list","LMS system","2026-04-15","passed","2026-04-15","Courses","Courses","",""
"","2596","test_edit_course[chromium]","LMS system","2026-04-15","passed","2026-04-15","Courses","Courses","",""
"","1690","Navigation from login page to registration page","LMS system","2026-04-15","passed","2026-04-15","Authorization","Authentication","",""
"","1717","User login with wrong email or password","LMS system","2026-04-15","passed","2026-04-15","Authorization","Authentication","",""
"","1193","Check displaying of empty courses list","LMS system","2026-04-15","passed","2026-04-15","Courses","Courses","",""
"","2565","Create course","LMS system","2026-04-15","passed","2026-04-15","Courses","Courses","",""
"","1634","Check displaying of dashboard page","LMS system","2026-04-15","passed","2026-04-15","Dashboard","Dashboard","",""
"","1731","Check displaying of dashboard page","LMS system","2026-04-15","passed","2026-04-15","Dashboard","Dashboard","",""
"","1499","Check displaying of empty courses list","LMS system","2026-04-15","passed","2026-04-15","Courses","Courses","",""
"","1406","User login with wrong email or password","LMS system","2026-04-15","passed","2026-04-15","Authorization","Authentication","",""
"","2603","User login with correct email and password","LMS system","2026-04-15","passed","2026-04-15","Authorization","Authentication","",""
"","1660","Registration with correct email, username and password","LMS system","2026-04-15","passed","2026-04-15","Registration","Authentication","",""
"","1338","User login with wrong email or password","LMS system","2026-04-15","passed","2026-04-15","Authorization","Authentication","",""
"","1988","Registration with correct email, username and password","LMS system","2026-04-15","passed","2026-04-15","Registration","Authentication","",""
"","2968","User login with correct email and password","LMS system","2026-04-15","passed","2026-04-15","Authorization","Authentication","",""
