"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5049","User login with correct email and password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","2364","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","3211","Registration with correct email, username and password","LMS system","2026-03-17","passed","2026-03-17","Registration","Authentication","",""
"","2112","Check displaying of empty courses list","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","3049","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","4966","test_edit_course[firefox]","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","3143","Check displaying of dashboard page","LMS system","2026-03-17","passed","2026-03-17","Dashboard","Dashboard","",""
"","2770","Check displaying of empty courses list","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","3937","Create course","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","3819","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","2159","Navigation from login page to registration page","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","5068","test_edit_course[webkit]","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","3041","Registration with correct email, username and password","LMS system","2026-03-17","passed","2026-03-17","Registration","Authentication","",""
"","2276","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","4588","Create course","LMS system","2026-03-17","passed","2026-03-17","Courses","Courses","",""
"","2550","Check displaying of dashboard page","LMS system","2026-03-17","passed","2026-03-17","Dashboard","Dashboard","",""
"","2414","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","2466","Navigation from login page to registration page","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","5673","User login with correct email and password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
"","2590","User login with wrong email or password","LMS system","2026-03-17","passed","2026-03-17","Authorization","Authentication","",""
